weekofmonth,dayofweek,make,accidentarea,dayofweekclaimed,weekofmonthclaimed,sex,maritalstatus,age,fault,policytype,vehiclecategory,vehicleprice,policynumber,repnumber,deductible,driverrating,days_policy_accident,days_policy_claim,pastnumberofclaims,ageofvehicle,ageofpolicyholder,policereportfiled,witnesspresent,agenttype,numberofsuppliments,addresschange_claim,numberofcars,year,basepolicy
3,4,6,1,5,3,1,1,38,0,1,0,0,8873,7,400,2,3,2,1,5,5,0,0,0,3,3,0,1995,1
2,0,17,1,1,2,1,1,45,0,2,1,0,9555,9,400,2,3,2,1,5,5,0,0,0,0,3,0,1995,2
3,6,2,1,2,3,1,1,42,0,2,1,0,15350,16,400,4,3,2,2,1,5,0,0,0,3,3,0,1996,2
1,3,6,0,6,3,1,2,30,0,2,1,5,10277,6,400,3,3,2,0,7,0,0,0,0,3,3,0,1995,2
1,2,13,1,2,2,1,1,44,0,0,0,4,12825,1,400,3,3,2,0,5,5,0,0,0,3,3,0,1996,0
1,5,9,1,7,1,1,2,25,1,1,0,1,4743,13,400,3,3,2,1,3,3,0,0,0,2,3,0,1994,1
1,2,17,1,5,3,0,1,22,0,1,0,0,7530,12,400,3,3,2,1,2,3,0,0,0,2,3,0,1995,1
3,0,6,1,1,3,1,1,72,0,0,0,4,9440,7,400,3,3,2,1,6,8,0,0,0,1,3,0,1995,0
3,1,6,1,6,3,1,1,28,1,1,0,0,12909,2,400,3,3,2,3,5,4,0,0,0,3,3,0,1996,1
4,4,15,1,5,5,1,1,40,0,1,0,1,8112,2,400,3,3,2,0,5,5,0,0,0,2,3,0,1995,1
5,6,17,1,1,1,1,1,36,0,1,0,0,10870,1,400,1,3,2,1,5,5,0,0,0,1,3,0,1995,1
1,2,2,1,7,3,1,1,45,0,1,0,0,2613,8,400,2,3,2,3,5,5,0,0,0,2,3,0,1994,1
1,2,6,1,2,3,1,1,36,1,4,1,5,7,14,400,1,3,2,0,5,5,0,0,0,0,3,0,1994,1
1,0,13,1,6,3,1,2,75,0,6,2,2,14055,1,400,4,3,2,1,6,8,1,0,0,1,3,0,1996,0
3,2,15,1,2,3,1,1,38,0,2,1,1,14305,9,400,2,3,2,2,5,5,0,0,0,0,3,0,1996,2
2,5,17,0,7,2,0,1,28,0,0,0,0,1915,16,400,3,3,2,0,4,4,0,0,0,3,3,0,1994,0
1,6,9,1,5,3,1,1,44,0,2,1,1,11689,15,400,1,3,2,1,5,5,0,0,0,0,3,0,1996,2
2,5,13,1,6,2,1,1,39,1,2,1,1,3527,1,400,3,3,2,1,5,5,0,0,1,0,3,2,1994,2
3,5,17,1,7,3,0,1,55,0,1,0,0,10472,10,400,1,3,2,3,5,6,0,0,0,2,3,0,1995,1
1,3,0,0,5,1,1,1,51,0,0,0,1,3767,7,400,2,3,2,3,6,6,0,0,0,2,3,0,1994,0
2,0,6,1,7,4,1,1,53,0,0,0,4,14472,4,400,2,3,2,3,6,6,0,0,0,0,3,0,1996,0
5,6,6,0,5,1,0,2,28,1,1,0,0,13294,7,400,2,3,2,1,3,4,0,1,0,3,2,1,1996,1
3,0,6,1,2,3,1,2,23,0,2,1,0,11321,2,400,4,3,2,1,1,3,0,0,0,2,3,0,1995,2
1,4,9,1,7,3,1,1,43,1,0,0,0,13550,1,400,1,3,2,3,6,5,0,0,0,2,3,0,1996,0
3,0,9,1,2,4,1,2,34,0,0,0,0,3820,16,400,1,3,2,3,3,4,0,0,0,2,3,0,1994,0
2,6,6,1,2,4,1,2,30,0,1,0,0,12804,15,400,1,3,2,3,4,4,0,0,0,1,3,0,1996,1
4,4,6,1,1,4,1,2,18,1,1,0,0,132,14,400,3,3,2,3,1,2,0,0,0,2,3,0,1994,1
3,6,2,1,5,3,1,1,54,0,2,1,5,11078,6,400,1,3,2,1,5,6,0,0,0,2,3,0,1995,2
4,1,9,1,6,4,1,1,30,0,0,0,0,4791,5,400,4,3,2,3,5,4,0,0,0,3,3,0,1994,0
3,3,2,1,1,4,1,1,48,0,1,0,0,4881,14,400,3,3,2,0,5,6,0,0,0,3,3,0,1994,1
3,1,9,1,2,3,1,1,29,0,0,0,0,8091,1,400,3,3,2,3,5,4,0,0,0,3,3,0,1995,0
2,6,5,1,1,3,1,1,46,0,2,1,3,4734,4,400,4,3,2,0,6,6,0,0,0,3,3,0,1994,2
4,5,17,1,7,4,0,1,44,0,2,1,0,9108,2,400,2,3,2,1,3,5,0,0,0,3,3,0,1995,2
4,1,17,1,2,4,1,1,48,1,0,0,0,10869,4,400,4,3,2,3,6,6,0,0,0,3,3,0,1995,0
4,0,9,1,2,2,1,1,43,0,1,0,0,4722,7,400,2,3,2,0,5,5,0,0,0,2,3,0,1994,1
1,6,6,0,2,1,1,1,62,0,2,1,0,8281,7,400,1,3,2,2,6,7,1,0,0,2,3,0,1995,2
1,0,13,1,2,1,0,1,38,0,0,0,0,8597,16,400,1,3,2,0,5,5,0,0,0,0,3,0,1995,0
1,3,13,1,5,2,1,1,77,0,2,1,4,11452,2,400,1,3,2,2,6,8,0,0,0,0,3,0,1996,2
3,5,13,1,2,4,1,1,44,1,0,0,4,12290,15,400,1,3,2,3,6,5,0,0,0,1,3,0,1996,0
3,6,6,1,5,3,1,1,27,0,1,0,0,4723,16,400,1,3,2,0,5,4,0,0,0,2,3,0,1994,1
1,2,9,1,2,4,1,1,38,0,0,0,0,6845,12,400,1,3,2,3,5,5,0,0,0,0,3,0,1995,0
4,6,17,1,7,4,0,1,68,0,2,1,0,6144,3,400,2,3,2,2,5,8,0,0,0,1,3,0,1995,2
1,6,2,1,2,1,1,1,39,0,2,1,0,8458,14,400,4,3,2,1,6,5,0,0,0,3,3,0,1995,2
4,2,13,1,6,5,1,1,48,0,0,0,0,12550,10,400,4,3,2,3,6,6,0,0,0,3,3,0,1996,0
3,0,9,1,7,5,1,1,36,0,1,0,1,6437,6,400,3,3,2,0,5,5,0,0,0,3,3,0,1995,1
4,0,2,1,2,5,1,2,35,0,1,0,3,1694,2,400,2,3,2,0,3,4,0,0,0,3,3,0,1994,1
1,0,13,1,2,3,1,1,32,0,0,0,0,13834,3,400,4,1,2,0,3,4,0,0,0,3,3,0,1996,0
2,5,13,1,2,3,1,1,64,0,0,0,4,9184,6,400,4,2,2,3,5,7,0,0,0,0,3,0,1995,0
4,3,6,1,6,1,0,1,31,0,1,0,4,4892,12,400,3,3,2,3,5,4,0,0,0,0,3,0,1994,1
2,4,9,1,1,3,1,1,35,1,0,0,0,14744,10,400,1,3,2,2,5,4,0,0,0,2,3,0,1996,0
3,0,6,1,5,1,1,1,43,0,2,1,1,11099,4,700,3,3,2,0,5,5,0,0,0,3,3,0,1995,2
4,0,2,1,6,4,1,1,37,0,6,2,5,6252,15,400,3,3,2,1,5,5,0,0,0,2,3,0,1995,0
2,0,9,1,1,2,1,2,30,0,2,1,5,11209,9,400,2,3,2,2,4,4,0,0,0,3,3,0,1995,2
4,5,11,1,5,2,1,1,55,0,1,0,0,12605,10,400,1,3,2,0,6,6,0,0,0,1,3,0,1996,1
1,4,17,1,5,3,1,1,33,0,2,1,0,13140,15,400,2,3,2,1,5,4,0,0,1,0,3,0,1996,2
3,1,2,1,2,4,1,1,53,1,1,0,3,13582,2,400,1,3,2,1,6,6,0,0,0,1,3,0,1996,1
3,5,13,1,7,4,1,2,43,1,2,1,1,2216,16,400,3,3,2,0,6,5,0,0,0,1,3,0,1994,2
4,6,17,1,5,1,1,2,32,0,2,1,0,14787,8,400,1,3,2,2,4,4,0,0,0,3,3,0,1996,2
4,0,13,1,7,1,1,1,72,0,0,0,0,13765,3,700,2,3,2,1,6,8,0,0,0,3,3,0,1996,0
4,5,13,0,7,1,1,1,55,0,1,0,1,481,10,400,1,3,2,1,6,6,0,0,0,3,3,0,1994,1
2,6,18,0,6,2,1,1,74,0,0,0,2,2353,16,400,4,3,2,1,6,8,0,0,0,0,2,1,1994,0
5,5,0,1,5,1,1,2,35,0,2,1,5,4714,13,400,3,3,2,2,3,4,0,0,0,0,3,0,1994,2
1,2,9,1,2,1,0,2,34,1,2,1,0,6439,10,400,2,3,2,3,4,4,0,0,0,3,3,0,1995,2
3,2,13,1,6,3,1,2,42,0,2,1,1,2912,3,400,2,3,2,0,5,5,0,0,0,3,3,2,1994,2
5,6,5,1,5,1,1,2,30,1,2,1,1,9225,11,400,2,3,2,1,5,4,0,0,0,3,3,0,1995,2
3,6,2,1,7,4,0,2,40,1,0,0,0,12111,9,400,1,3,2,3,5,5,0,0,0,3,3,0,1996,0
5,1,2,1,6,2,1,1,58,0,1,0,1,1927,12,400,1,3,2,0,6,7,0,0,0,3,3,0,1994,1
3,5,17,1,6,3,1,2,28,0,2,1,1,5878,5,400,1,3,2,2,4,4,0,0,0,2,3,0,1994,2
2,5,3,1,6,2,1,1,37,0,2,1,5,11568,9,400,4,3,2,2,5,5,0,0,0,1,3,0,1996,2
4,5,17,1,6,3,1,1,32,0,1,0,1,7954,5,400,4,3,2,3,4,4,0,0,0,3,3,0,1995,1
1,6,9,1,1,1,1,1,54,0,2,1,1,4778,12,400,1,3,2,2,6,6,0,0,0,3,3,0,1994,2
1,1,10,1,2,2,1,1,44,0,1,0,1,6563,9,400,1,3,2,3,5,5,0,0,0,3,3,0,1995,1
5,1,6,1,6,5,1,2,35,1,1,0,0,15141,3,400,2,3,2,3,4,4,0,0,0,0,3,0,1996,1
3,0,18,1,1,1,1,1,54,1,1,0,1,1617,7,400,3,3,2,3,6,6,0,0,0,3,3,0,1994,1
4,2,2,1,6,3,1,2,55,0,6,2,5,9010,16,400,2,3,2,1,5,6,0,0,0,2,0,1,1995,0
1,0,13,1,2,1,1,2,33,0,2,1,1,15235,5,400,2,3,2,1,4,4,0,0,0,3,3,0,1996,2
3,0,6,1,6,4,1,1,55,1,0,0,4,5461,11,400,3,3,2,3,5,6,0,0,0,3,0,1,1994,0
4,5,2,1,6,4,0,1,35,0,1,0,0,11054,13,400,1,3,2,3,4,4,0,0,0,0,3,0,1995,1
1,0,6,1,2,4,1,2,30,0,1,0,5,2126,9,400,3,3,2,0,7,0,0,0,0,3,3,0,1994,1
4,2,13,1,5,2,1,1,49,1,1,0,0,13142,10,400,3,3,2,1,6,6,0,0,0,0,3,0,1996,1
3,1,17,0,6,2,1,1,31,0,1,0,1,13035,6,400,2,3,2,3,5,4,0,0,0,2,3,0,1996,1
1,5,17,1,1,1,1,1,66,1,2,1,2,15083,5,400,1,3,2,1,6,8,0,0,1,3,3,0,1996,2
2,2,9,1,2,3,0,1,44,0,0,0,4,2563,15,400,2,3,2,3,5,5,1,0,0,3,2,1,1994,0
1,4,6,1,6,2,1,1,41,0,2,1,1,14542,8,400,4,3,2,1,5,5,0,0,0,1,3,0,1996,2
3,0,13,1,6,3,0,1,37,1,0,0,0,8839,7,400,3,3,2,0,3,5,0,0,0,3,3,0,1995,0
5,5,6,1,6,2,1,1,28,0,1,0,0,5234,9,400,4,3,2,3,5,4,0,0,0,3,3,0,1994,1
3,2,6,1,6,3,1,1,73,0,2,1,1,8841,16,400,1,3,2,2,6,8,0,0,0,1,3,0,1995,2
2,1,6,1,7,4,1,2,26,0,1,0,0,10483,1,400,3,3,2,0,4,4,0,0,0,3,3,0,1995,1
2,0,2,1,6,3,0,1,54,1,1,0,0,4987,9,400,3,3,2,1,5,6,0,0,0,3,3,0,1994,1
3,0,2,1,7,2,1,1,44,0,1,0,0,8447,15,400,2,3,2,3,5,5,0,0,0,3,3,2,1995,1
1,4,9,1,2,2,1,1,59,1,0,0,1,14909,5,400,1,3,2,3,6,7,0,0,0,3,3,0,1996,0
2,3,9,1,2,2,0,1,33,0,2,1,0,8522,3,400,1,3,2,2,5,4,1,0,0,3,3,0,1995,2
4,3,17,1,6,1,1,1,37,1,2,1,1,4320,9,400,2,3,2,0,6,5,0,0,1,2,3,0,1994,2
5,2,6,1,7,1,1,2,31,0,2,1,0,159,11,400,4,3,2,1,4,4,0,0,0,1,3,0,1994,2
4,6,2,1,7,4,1,2,26,0,1,0,0,7687,2,400,4,3,2,1,4,4,0,0,0,2,2,1,1995,1
2,4,13,1,7,3,1,1,37,0,0,0,0,214,16,400,4,3,2,3,5,5,0,0,0,0,3,0,1994,0
2,6,13,0,2,3,1,1,51,0,2,1,0,12112,2,400,3,3,2,1,6,6,0,0,0,2,3,0,1996,2
1,5,13,0,5,4,1,1,42,0,1,0,5,4359,11,400,3,3,2,0,6,5,0,0,0,3,3,0,1994,1
3,6,9,1,2,1,1,1,52,0,2,1,0,15003,12,400,2,3,2,1,5,6,0,0,0,3,3,0,1996,2
3,0,9,1,6,3,0,1,33,0,1,0,0,12012,5,400,4,3,2,1,4,4,0,0,0,3,3,0,1996,1
2,4,6,1,7,3,1,2,30,1,0,0,0,7870,3,400,3,3,2,3,4,4,0,0,0,3,3,0,1995,0
2,5,6,1,7,2,1,2,28,0,2,1,0,5709,13,400,1,3,2,2,5,4,0,0,0,2,3,0,1994,2
2,4,5,1,7,3,1,2,46,1,1,0,1,6345,1,400,3,3,2,1,6,6,0,0,0,3,3,0,1995,1
1,4,17,1,5,1,1,2,26,0,2,1,1,2627,13,400,4,3,2,2,3,4,0,0,0,2,3,0,1994,2
1,5,6,1,7,1,1,1,26,0,1,0,0,14876,16,400,3,3,2,3,5,4,0,0,0,2,3,0,1996,1
4,1,13,1,5,2,1,1,64,0,0,0,0,11203,2,400,4,3,2,3,6,7,0,0,0,3,3,0,1995,0
2,6,5,1,7,4,1,1,60,1,0,0,1,14786,4,400,1,3,2,1,6,7,0,0,0,3,3,0,1996,0
4,4,17,1,5,4,1,1,36,0,1,0,0,14848,2,400,3,3,2,1,5,5,0,0,0,3,2,1,1996,1
1,3,13,1,7,1,1,2,30,0,1,0,0,5524,15,400,3,3,2,0,4,4,0,0,0,3,2,1,1994,1
2,3,17,1,1,3,1,1,46,0,2,1,0,12345,8,400,2,3,2,1,6,6,0,0,0,3,3,0,1996,2
2,5,17,1,1,4,1,1,64,1,0,0,4,15289,8,400,4,3,2,3,5,7,0,0,0,3,0,1,1996,0
4,6,17,1,7,5,1,2,30,0,2,1,0,9426,16,400,3,3,2,2,5,4,0,0,0,2,3,0,1995,2
5,3,6,1,2,5,1,1,51,0,2,1,0,4994,9,400,2,3,2,0,5,6,0,0,0,3,3,0,1994,2
4,0,2,1,1,1,0,1,29,1,0,0,0,1261,7,400,4,3,2,0,4,4,0,0,0,1,2,1,1994,0
4,2,13,1,6,4,1,1,28,1,2,1,0,10404,11,400,3,3,2,2,3,4,0,0,0,3,3,0,1995,2
